jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
jppfs_cor:LossGainFromValuationOfTradingProductsOpeCFSEC,トレーディング商品評価損益（△は益）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Loss (gain) from valuation of trading products,Loss (gain) from valuation of trading products-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInTradingProductsAssetsOpeCFSEC,トレーディング商品（資産）の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trading products (assets),Decrease (increase) in trading products (assets)-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInTradingProductsLiabilitiesOpeCFSEC,トレーディング商品（負債）の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in trading products (liabilities),Increase (decrease) in trading products (liabilities)-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInTradingProductsAssetsLiabilitiesOpeCFSEC,トレーディング商品の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trading products - assets (liabilities),Decrease (increase) in trading products-assets (liabilities)-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInCashSegregatedAsDepositsForCustomersOpeCFSEC,顧客分別金信託の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash segregated as deposits for customers,Decrease (increase) in cash segregated as deposits for customers-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInGuaranteeDepositsReceivedOpeCFSEC,受入保証金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in guarantee deposits received,Increase (decrease) in guarantee deposits received-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInReserveForFinancialProductsTransactionLiabilitiesOpeCFSEC,金融商品取引責任準備金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in reserve for financial products transaction liabilities,Increase (decrease) in reserve for financial products transaction liabilities-OpeCF-SEC
jppfs_cor:ProvisionOfReserveForFinancialProductsTransactionLiabilitiesOpeCFSEC,金融商品取引責任準備金繰入れ、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Provision of reserve for financial products transaction liabilities,Provision of reserve for financial products transaction liabilities-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInAssetsLiabilitiesForMarginTransactionOpeCFSEC,信用取引資産及び信用取引負債の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in assets/liabilities for margin transaction,Decrease/increase in assets/liabilities for margin transaction-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInMarginTransactionAssetsOpeCFSEC,信用取引資産の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in margin transaction assets,Decrease (increase) in margin transaction assets-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInMarginTransactionLiabilitiesOpeCFSEC,信用取引負債の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in margin transaction liabilities,Increase (decrease) in margin transaction liabilities-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInShortTermGuaranteeDepositsOpeCFSEC,短期差入保証金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in short-term guarantee deposits,Decrease (increase) in short-term guarantee deposits-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInCashPaidForSubscriptionOpeCFSEC,募集等払込金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash paid for subscription,Decrease (increase) in cash paid for subscription-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInTradeDateAccrualOpeCFSEC,約定見返勘定の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in trade date accrual,Decrease (increase) in trade date accrual-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInBorrowingsSecuredBySecuritiesOpeCFSEC,有価証券担保借入金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in borrowings secured by securities,Increase (decrease) in borrowings secured by securities-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInLoansBorrowingsSecuredBySecuritiesOpeCFSEC,有価証券担保貸付金及び有価証券担保借入金の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in loans/borrowings secured by securities,Decrease/increase in loans/borrowings secured by securities-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInLoansSecuredBySecuritiesOpeCFSEC,有価証券担保貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in loans secured by securities,Decrease (increase) in loans secured by securities-OpeCF-SEC
jppfs_cor:IncreaseDecreaseInDepositsAndGuaranteeDepositsReceivedOpeCFSEC,預り金及び受入保証金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Increase (decrease) in deposits and guarantee deposits received,Increase (decrease) in deposits and guarantee deposits received-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInCashSegregatedAsDepositsOpeCFSEC,預託金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash segregated as deposits,Decrease (increase) in cash segregated as deposits-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInAdvancePaidDepositsReceivedOpeCFSEC,立替金及び預り金の増減額、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease/increase in advance paid/deposits received,Decrease/increase in advance paid/deposits received-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInAdvancePaidOpeCFSEC,立替金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in advance paid,Decrease (increase) in advance paid-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInLoansReceivableOpeCFSEC,貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in loans receivable,Decrease (increase) in loans receivable-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInShortTermLoansReceivableOpeCFSEC,短期貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in short-term loans receivable,Decrease (increase) in short-term loans receivable-OpeCF-SEC
jppfs_cor:DecreaseIncreaseInCashCollateralPledgedForSecuritiesBorrowedOpeCFSEC,借入有価証券担保金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,Decrease (increase) in cash collateral pledged for securities borrowed,Decrease (increase) in cash collateral pledged for securities borrowed-OpeCF-SEC
jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
