jppfs_cor:DecreaseIncreaseInOtherAssetsOpeCF,その他の資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,Decrease (increase) in other assets,Decrease (increase) in other assets-OpeCF
jppfs_cor:IncreaseDecreaseInOtherLiabilitiesOpeCF,その他の負債の増減額（△は減少）、営業活動によるキャッシュ・フロー,Increase (decrease) in other liabilities,Increase (decrease) in other liabilities-OpeCF
jppfs_cor:OtherNetOpeCF,その他、営業活動によるキャッシュ・フロー,"Other, net","Other, net-OpeCF"
jppfs_cor:InterestAndDividendsIncomeReceivedOpeCFInvCF,利息及び配当金の受取額、営業活動によるキャッシュ・フロー又は投資活動によるキャッシュ・フロー,Interest and dividend income received,Interest and dividend income received-OpeCF/InvCF
jppfs_cor:IncomeTaxesPaidOpeCF,法人税等の支払額、営業活動によるキャッシュ・フロー,Income taxes paid,Income taxes paid-OpeCF
jppfs_cor:NetCashProvidedByUsedInOperatingActivities,営業活動によるキャッシュ・フロー,Net cash provided by (used in) operating activities,Net cash provided by (used in) operating activities
jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
jppfs_cor:PurchaseOfHighwayNoncurrentAssetsInvCFHWY,高速道路事業固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of highway non-current assets,Purchase of highway non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfRelatedNoncurrentAssetsInvCFHWY,関連事業固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of related non-current assets,Purchase of related non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfAffiliatedNoncurrentAssetsInvCFHWY,各事業共用固定資産の取得による支出、投資活動によるキャッシュ・フロー、高速道路事業,Purchase of affiliated non-current assets,Purchase of affiliated non-current assets-InvCF-HWY
jppfs_cor:ProceedsFromSalesOfAffiliatedNoncurrentAssetsInvCFHWY,各事業共用固定資産の売却による収入、投資活動によるキャッシュ・フロー、高速道路事業,Proceeds from sales of affiliated non-current assets,Proceeds from sales of affiliated non-current assets-InvCF-HWY
jppfs_cor:PurchaseOfInvestmentSecuritiesInvCF,投資有価証券の取得による支出、投資活動によるキャッシュ・フロー,Purchase of investment securities,Purchase of investment securities-InvCF
jppfs_cor:ProceedsFromSalesOfInvestmentSecuritiesInvCF,投資有価証券の売却による収入、投資活動によるキャッシュ・フロー,Proceeds from sales of investment securities,Proceeds from sales of investment securities-InvCF
jppfs_cor:OtherNetInvCF,その他、投資活動によるキャッシュ・フロー,"Other, net","Other, net-InvCF"
jppfs_cor:NetCashProvidedByUsedInInvestmentActivities,投資活動によるキャッシュ・フロー,Net cash provided by (used in) investing activities,Net cash provided by (used in) investing activities
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
jppfs_cor:ProceedsFromIssuanceOfRoadBuildingBondsFinCFHWY,道路建設関係社債発行による収入、財務活動によるキャッシュ・フロー、高速道路事業,Proceeds from issuance of road-building bonds,Proceeds from issuance of road-building bonds-FinCF-HWY
jppfs_cor:RedemptionOfRoadBuildingBondsFinCFHWY,道路建設関係社債償還による支出、財務活動によるキャッシュ・フロー、高速道路事業,Redemption of road-building bonds,Redemption of road-building bonds-FinCF-HWY
jppfs_cor:ProceedsFromIssuanceOfOtherBondsFinCFHWY,その他の社債発行による収入、財務活動によるキャッシュ・フロー、高速道路事業,Proceeds from issuance of other bonds,Proceeds from issuance of other bonds-FinCF-HWY
jppfs_cor:RedemptionOfOtherBondsFinCFHWY,その他の社債償還による支出、財務活動によるキャッシュ・フロー、高速道路事業,Redemption of other bonds,Redemption of other bonds-FinCF-HWY
jppfs_cor:ProceedsFromLongTermLoansPayableFinCF,長期借入れによる収入、財務活動によるキャッシュ・フロー,Proceeds from long-term loans payable,Proceeds from long-term loans payable-FinCF
jppfs_cor:RepaymentOfLongTermLoansPayableFinCF,長期借入金の返済による支出、財務活動によるキャッシュ・フロー,Repayments of long-term loans payable,Repayments of long-term loans payable-FinCF
jppfs_cor:CashDividendsPaidFinCF,配当金の支払額、財務活動によるキャッシュ・フロー,Cash dividends paid,Cash dividends paid-FinCF
jppfs_cor:OtherNetFinCF,その他、財務活動によるキャッシュ・フロー,"Other, net","Other, net-FinCF"
jppfs_cor:NetCashProvidedByUsedInFinancingActivities,財務活動によるキャッシュ・フロー,Net cash provided by (used in) financing activities,Net cash provided by (used in) financing activities
jppfs_cor:EffectOfExchangeRateChangeOnCashAndCashEquivalents,現金及び現金同等物に係る換算差額,Effect of exchange rate change on cash and cash equivalents,Effect of exchange rate change on cash and cash equivalents
jppfs_cor:NetIncreaseDecreaseInCashAndCashEquivalents,現金及び現金同等物の増減額（△は減少）,Net increase (decrease) in cash and cash equivalents,Net increase (decrease) in cash and cash equivalents
jppfs_cor:CashAndCashEquivalents,現金及び現金同等物の残高,Cash and cash equivalents,Cash and cash equivalents
