jppfs_cor:DepreciationOfLeasedAssetsOpeCFLEA,賃貸資産減価償却費、営業活動によるキャッシュ・フロー、リース事業,Depreciation of assets for lease,Depreciation of assets for lease-OpeCF-LEA
jppfs_cor:DepreciationOfOwnUsedAssetsOpeCFLEA,社用資産減価償却費、営業活動によるキャッシュ・フロー、リース事業,Depreciation of own-used assets,Depreciation of own-used assets-OpeCF-LEA
jppfs_cor:DepreciationAndLossOnRetirementOfOwnUsedAssetsOpeCFLEA,社用資産減価償却費及び除却損、営業活動によるキャッシュ・フロー、リース事業,Depreciation and loss on retirement of own-used assets,Depreciation and loss on retirement of own-used assets-OpeCF-LEA
jppfs_cor:DepreciationOfLeasedAndOwnUsedAssetsOpeCFLEA,賃貸資産及び社用資産減価償却費、営業活動によるキャッシュ・フロー、リース事業,Depreciation of assets for lease and own-used assets,Depreciation of assets for lease and own-used assets-OpeCF-LEA
jppfs_cor:LossOnRetirementOfLeasedAssetsOpeCFLEA,賃貸資産除却損、営業活動によるキャッシュ・フロー、リース事業,Loss on retirement of assets for lease,Loss on retirement of assets for lease-OpeCF-LEA
jppfs_cor:LossGainOnDisposalOfLeasedAssetsOpeCFLEA,賃貸資産処分損益（△は益）、営業活動によるキャッシュ・フロー、リース事業,Loss (gain) on disposal of assets for lease,Loss (gain) on disposal of assets for lease-OpeCF-LEA
jppfs_cor:CapitalCostAndInterestExpensesOpeCFLEA,資金原価及び支払利息、営業活動によるキャッシュ・フロー、リース事業,Capital cost and interest expenses,Capital cost and interest expenses-OpeCF-LEA
jppfs_cor:DecreaseIncreaseInReceivablesInstallmentOpeCFLEA,割賦債権の増減額（△は増加）、営業活動によるキャッシュ・フロー、リース事業,Decrease (increase) in receivables - installment,Decrease (increase) in receivables-installment-OpeCF-LEA
jppfs_cor:DecreaseIncreaseInAccountsReceivableOperatingLoansOpeCFLEA,営業貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、リース事業,Decrease (increase) in accounts receivable - operating loans,Decrease (increase) in accounts receivable-operating loans-OpeCF-LEA
jppfs_cor:DecreaseIncreaseInOtherOperatingAssetsOpeCFLEA,その他の営業資産の増減額（△は増加）、営業活動によるキャッシュ・フロー、リース事業,Decrease (increase) in other operating assets,Decrease (increase) in other operating assets-OpeCF-LEA
jppfs_cor:DecreaseIncreaseInAccountsReceivableLeaseOpeCFLEA,賃貸料等未収入金の増減額（△は増加）、営業活動によるキャッシュ・フロー、リース事業,Decrease (increase) in accounts receivable - lease,Decrease (increase) in accounts receivable-lease-OpeCF-LEA
jppfs_cor:PurchaseOfLeasedAssetsOpeCFLEA,賃貸資産の取得による支出、営業活動によるキャッシュ・フロー、リース事業,Purchase of assets for lease,Purchase of assets for lease-OpeCF-LEA
jppfs_cor:DecreaseIncreaseInLeasedAssetsOpeCFLEA,賃貸資産の増減額（△は増加）、営業活動によるキャッシュ・フロー、リース事業,Decrease (increase) in assets for lease,Decrease (increase) in assets for lease-OpeCF-LEA
jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
jppfs_cor:PurchaseOfOwnUsedAssetsInvCFLEA,社用資産の取得による支出、投資活動によるキャッシュ・フロー、リース事業,Purchase of own-used assets,Purchase of own-used assets-InvCF-LEA
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
jppfs_cor:ProceedsFromFluidityOfLeaseReceivablesFinCFLEA,債権流動化による収入、財務活動によるキャッシュ・フロー、リース事業,Proceeds from fluidity of lease receivables,Proceeds from fluidity of lease receivables-FinCF-LEA
jppfs_cor:RepaymentsOfPayablesUnderFluidityLeaseReceivablesFinCFLEA,債権流動化の返済による支出、財務活動によるキャッシュ・フロー、リース事業,Repayments of payables under fluidity lease receivables,Repayments of payables under fluidity lease receivables-FinCF-LEA
